Diena,Laiks,Nosaukums,Apraksts,Grupa,YouTube
Pirmdiena,18:30,Atklāšanas dievkalpojums,,Paralēli,
Pirmdiena,22:00,Vakara uzkodas,,,
Pirmdiena,22:30,Nakts aktivitāte,,,
Otrdiena,8:00,Rīta lūgšanas,Lielajā teltī,,
Otrdiena,8:30,Brokastis,,,
Otrdiena,10:00,Rīta dievkalpojums,,Paralēli,https://www.youtube.com/watch?v=J3DvXZIWKzg
Otrdiena,13:00,Pusdienas,,,
Otrdiena,14:00,Spēles un radošās darbnīcas,,Bērniem,
Otrdiena,14:00,Sports un komandu spēles,,Jauniešiem,
Otrdiena,14:00,Volejbols un sarunas,,Vīriem,
Otrdiena,14:00,Rokdarbi un pastaigas,,Sievietēm,
Otrdiena,17:30,Vakariņas,,,
Otrdiena,18:30,Vakara dievkalpojums,,Paralēli,
Otrdiena,22:00,Vakara uzkodas,,,
Otrdiena,22:30,Nakts aktivitāte,,,
Trešdiena,8:00,Rīta lūgšanas,,,
Trešdiena,8:30,Brokastis,,,
Trešdiena,10:00,Rīta dievkalpojums,,Paralēli,
Trešdiena,13:00,Pusdienas,,,
Trešdiena,14:00,Spēles un radošās darbnīcas,,Bērniem,
Trešdiena,14:00,Sports un komandu spēles,,Jauniešiem,
Trešdiena,14:00,Volejbols un sarunas,,Vīriem,
Trešdiena,14:00,Rokdarbi un pastaigas,,Sievietēm,
Trešdiena,17:30,Vakariņas,,,
Trešdiena,18:30,Vakara dievkalpojums,,Paralēli,
Trešdiena,22:00,Vakara uzkodas,,,
Trešdiena,22:30,Nakts aktivitāte,,,
Ceturtdiena,8:00,Rīta lūgšanas,,,
Ceturtdiena,8:30,Brokastis,,,
Ceturtdiena,10:00,Rīta dievkalpojums,,Paralēli,
Ceturtdiena,13:00,Pusdienas,,,
Ceturtdiena,14:00,Spēles un radošās darbnīcas,,Bērniem,
Ceturtdiena,14:00,Sports un komandu spēles,,Jauniešiem,
Ceturtdiena,14:00,Volejbols un sarunas,,Vīriem,
Ceturtdiena,14:00,Rokdarbi un pastaigas,,Sievietēm,
Ceturtdiena,17:30,Vakariņas,,,
Ceturtdiena,18:30,Vakara dievkalpojums,,Paralēli,
Ceturtdiena,22:00,Vakara uzkodas,,,
Ceturtdiena,22:30,Nakts aktivitāte,,,
Piektdiena,8:00,Rīta lūgšanas,,,
Piektdiena,8:30,Brokastis,,,
Piektdiena,10:00,Rīta dievkalpojums,,Paralēli,
Piektdiena,13:00,Pusdienas,,,
Piektdiena,14:00,Spēles un radošās darbnīcas,,Bērniem,
Piektdiena,14:00,Sports un komandu spēles,,Jauniešiem,
Piektdiena,14:00,Volejbols un sarunas,,Vīriem,
Piektdiena,14:00,Rokdarbi un pastaigas,,Sievietēm,
Piektdiena,17:30,Vakariņas,,,
Piektdiena,18:30,Vakara dievkalpojums,,Paralēli,
Piektdiena,22:00,Vakara uzkodas,,,
Piektdiena,22:30,Nakts aktivitāte,,,
Sestdiena,8:00,Rīta lūgšanas,,,
Sestdiena,8:30,Brokastis,,,
Sestdiena,10:00,Noslēguma dievkalpojums,Visas grupas kopā — nometnes noslēgums,,
Sestdiena,13:00,Pusdienas un došanās mājās,,,
